[ 0.62270719  0.21344269] 0
[ 0.63509892  0.27200688] 0
[ 0.68061479  0.28720311] 0
[ 0.618955    0.28722903] 0
[ 0.61491953  0.25381735] 0
[ 0.60278553  0.29961738] 0
[ 0.69491596  0.24397095] 0
[ 0.67987419  0.28565909] 0
[ 0.61837054  0.24756038] 0
[ 0.61149981  0.29366887] 0
[ 0.63649529  0.2692439 ] 0
[ 0.60011434  0.20807421] 0
[ 0.64547242  0.28700171] 0
[ 0.6452556   0.29211402] 0
[ 0.62448168  0.26095933] 0
[ 0.61097385  0.29104874] 0
[ 0.60971816  0.29796015] 0
[ 0.60661271  0.22342121] 0
[ 0.67825136  0.28129807] 0
[ 0.69253959  0.24460366] 0
[ 0.63442426  0.26879711] 0
[ 0.65277714  0.29462077] 0
[ 0.66040179  0.28293606] 0
[ 0.61252898  0.2635471 ] 0
[ 0.61360036  0.22008791] 0
[ 0.61463735  0.22518245] 0
[ 0.69076746  0.2979792 ] 0
[ 0.6474036   0.29759968] 0
[ 0.63175363  0.26645576] 0
[ 0.63778824  0.2923246 ] 0
[ 0.65093359  0.29661125] 0
[ 0.69829497  0.25065359] 0
[ 0.66673622  0.24195926] 0
[ 0.63363145  0.27438556] 0
[ 0.66897964  0.29055076] 0
[ 0.65967578  0.298341  ] 0
[ 0.63095567  0.24416702] 0
[ 0.66479454  0.29862322] 0
[ 0.60642381  0.29786056] 0
[ 0.67300524  0.28342295] 0
[ 0.67684712  0.24393838] 0
[ 0.69837026  0.28608626] 0
[ 0.62060005  0.21937502] 0
[ 0.60912789  0.25661304] 0
[ 0.61361379  0.24298332] 0
[ 0.62198878  0.28418123] 0
[ 0.61100794  0.2767298 ] 0
[ 0.62427706  0.28517971] 0
[ 0.61661555  0.29292643] 0
[ 0.68151434  0.27806257] 0
[ 0.63524384  0.23829323] 0
[ 0.6266072   0.24978746] 0
[ 0.64528435  0.24878333] 0
[ 0.68520745  0.23227916] 0
[ 0.63041716  0.22295094] 0
[ 0.61453444  0.29357853] 0
[ 0.62814116  0.27191367] 0
[ 0.61564209  0.22376621] 0
[ 0.68888354  0.29321613] 0
[ 0.68243505  0.29065209] 0
[ 0.64675063  0.27243974] 0
[ 0.66034996  0.23324516] 0
[ 0.62138361  0.23287111] 0
[ 0.61535771  0.28685409] 0
[ 0.60820979  0.29015336] 0
[ 0.65246351  0.29159438] 0
[ 0.65895915  0.25557129] 0
[ 0.6069877   0.29808049] 0
