[ 0.04910388  0.04893996] 0
[ 0.01799774  0.08466564] 0
[ 0.03624204  0.03152264] 0
[ 0.06504426  0.00088317] 0
[ 0.08409024  0.00630655] 0
[ 0.03774774  0.0084718 ] 0
[ 0.08888512  0.07969903] 0
[ 0.04599908  0.02156664] 0
[ 0.05564946  0.00102513] 0
[ 0.0761082   0.09455883] 0
[ 0.09988634  0.03371392] 0
[ 0.03923303  0.08265606] 0
[ 0.02096572  0.05722731] 0
[ 0.03990862  0.04901405] 0
[ 0.00414788  0.0326987 ] 0
[ 0.02427255  0.08916627] 0
[ 0.07427265  0.09197345] 0
[ 0.07942985  0.08008811] 0
[  8.51943292e-05   7.37585078e-02] 0
[ 0.08571928  0.07988413] 0
[ 0.08384656  0.0827157 ] 0
[ 0.05536153  0.02398545] 0
[ 0.06438339  0.00397107] 0
[ 0.02470049  0.04784278] 0
[ 0.03728144  0.04199454] 0
[ 0.07176344  0.07331634] 0
[ 0.04655516  0.05817918] 0
[ 0.06375347  0.00240848] 0
[ 0.07489801  0.09879811] 0
[ 0.07064321  0.05275535] 0
[ 0.02217249  0.02882186] 0
[ 0.02039151  0.06252711] 0
[ 0.09348831  0.0889521 ] 0
[ 0.09037952  0.07814336] 0
[ 0.08211101  0.08294346] 0
[ 0.01216038  0.00209145] 0
[ 0.07506966  0.06142069] 0
[ 0.08925548  0.08655038] 0
[ 0.07411351  0.08602501] 0
[ 0.0991824  0.035729 ] 0
[ 0.08075526  0.04754308] 0
[ 0.04599839  0.04515695] 0
[ 0.09867805  0.05263814] 0
[ 0.02208889  0.05170128] 0
[ 0.06090106  0.04915   ] 0
[ 0.06322758  0.07146963] 0
[ 0.04635714  0.04538526] 0
[ 0.09236324  0.08294842] 0
[ 0.0990753   0.09682023] 0
[ 0.03151668  0.02054403] 0
[ 0.00916642  0.03337047] 0
[ 0.00776248  0.05965272] 0
[ 0.09383951  0.01394525] 0
[ 0.03241235  0.00211802] 0
[ 0.03627033  0.09849851] 0
[ 0.03618054  0.0495429 ] 0
[ 0.0219218   0.07253713] 0
[ 0.08634888  0.0347748 ] 0
[ 0.00876166  0.02191594] 0
[ 0.02197223  0.00444275] 0
[ 0.00317282  0.03371494] 0
[ 0.0582948   0.06722302] 0
[ 0.04720049  0.06457196] 0
[ 0.09653085  0.06541974] 0
[ 0.02615082  0.07792698] 0
[ 0.08455547  0.07830317] 0
[ 0.0678988  0.0297203] 0
[ 0.03337722  0.08971474] 0
[ 0.02154804  0.05262399] 0
[ 0.06860972  0.02946738] 0
[ 0.03605029  0.02339992] 0
[ 0.09514591  0.05645036] 0
[ 0.07342559  0.04119893] 0
[ 0.05070017  0.06012273] 0
[ 0.02987639  0.09984021] 0
[ 0.07975641  0.04521283] 0
[ 0.04358646  0.07634159] 0
[ 0.08306066  0.07520154] 0
[ 0.07711558  0.0447189 ] 0
[ 0.03712507  0.06132403] 0
[ 0.08077778  0.05689602] 0
[ 0.0938369   0.06810458] 0
[ 0.03341277  0.00064777] 0
[ 0.02598879  0.03225621] 0
[ 0.03563038  0.02638965] 0
[ 0.01338273  0.05365834] 0
[ 0.05017698  0.01485217] 0
[ 0.00453159  0.03343166] 0
[ 0.06929909  0.09864959] 0
