[ 0.68915775  0.50024642] 0
[ 0.69043536  0.59674889] 0
[ 0.67427064  0.53400844] 0
[ 0.67249082  0.55975183] 0
[ 0.6791226   0.50914988] 0
[ 0.61840239  0.50412455] 0
[ 0.64419063  0.52388237] 0
[ 0.6218443   0.50123371] 0
[ 0.69411542  0.53084472] 0
[ 0.67473907  0.5473306 ] 0
[ 0.6648426   0.51570132] 0
[ 0.67939873  0.53012474] 0
[ 0.63451138  0.52250376] 0
[ 0.61913648  0.52326875] 0
[ 0.67869287  0.52398208] 0
[ 0.65419783  0.54551788] 0
[ 0.69596368  0.57866961] 0
[ 0.60894597  0.56321525] 0
[ 0.63589278  0.51539605] 0
[ 0.68507839  0.53690633] 0
[ 0.60509177  0.50732456] 0
[ 0.69837027  0.56564519] 0
[ 0.65843346  0.54558706] 0
[ 0.60371878  0.54472539] 0
[ 0.66759228  0.52970999] 0
[ 0.67155466  0.5153819 ] 0
[ 0.62071939  0.51884824] 0
[ 0.63910798  0.50709133] 0
[ 0.65773626  0.5006084 ] 0
[ 0.68471173  0.52270864] 0
[ 0.63650155  0.54750627] 0
[ 0.62837966  0.50084415] 0
[ 0.6391395   0.50181875] 0
[ 0.6805952   0.52162498] 0
[ 0.67250831  0.50548254] 0
[ 0.69856402  0.57751749] 0
[ 0.63135202  0.53759034] 0
[ 0.69911024  0.53490893] 0
[ 0.61763095  0.53421523] 0
[ 0.67090001  0.56370993] 0
[ 0.69562091  0.50932064] 0
[ 0.63033319  0.50416722] 0
[ 0.63163636  0.52466873] 0
[ 0.67249998  0.55184431] 0
[ 0.64067832  0.51986989] 0
[ 0.66243359  0.54692567] 0
[ 0.66535035  0.51458948] 0
[ 0.62306595  0.58790151] 0
[ 0.63371495  0.51275733] 0
[ 0.61909064  0.55778391] 0
[ 0.69322515  0.57841262] 0
[ 0.61673142  0.56947683] 0
[ 0.64252301  0.56200513] 0
[ 0.618724    0.51434514] 0
[ 0.68470198  0.50697897] 0
[ 0.66682161  0.54199702] 0
[ 0.63251167  0.54054481] 0
[ 0.61117992  0.53797577] 0
[ 0.64718389  0.56101136] 0
[ 0.67112942  0.50841522] 0
[ 0.69306001  0.50036335] 0
[ 0.69646737  0.56275341] 0
[ 0.6311549  0.5553512] 0
[ 0.68882651  0.53287395] 0
[ 0.6275444  0.5840683] 0
[ 0.67251861  0.52072205] 0
[ 0.68327386  0.50225357] 0
[ 0.65649394  0.5031998 ] 0
[ 0.68207965  0.54943205] 0
[ 0.69850054  0.53657932] 0
[ 0.61753842  0.50451688] 0
[ 0.63005767  0.52827559] 0
[ 0.64684786  0.56592842] 0
[ 0.64679916  0.52555502] 0
[ 0.62763164  0.59103931] 0
[ 0.68583238  0.50796188] 0
[ 0.66477431  0.50064219] 0
[ 0.661766    0.50940905] 0
[ 0.66539738  0.50736793] 0
[ 0.61305165  0.54533247] 0
[ 0.69159599  0.50608075] 0
[ 0.67627417  0.50585508] 0
[ 0.6346641   0.52013828] 0
[ 0.63820786  0.51339094] 0
[ 0.61196663  0.57862027] 0
[ 0.62657541  0.55730178] 0
[ 0.69130642  0.50211276] 0
[ 0.65682235  0.52878118] 0
[ 0.68318791  0.59685294] 0
[ 0.66918564  0.55111651] 0
[ 0.68233323  0.55874611] 0
[ 0.64112685  0.51941894] 0
[ 0.66476952  0.51894369] 0
[ 0.60719291  0.55894991] 0
[ 0.69107954  0.55823414] 0
[ 0.6277663   0.50739505] 0
[ 0.69589209  0.59246407] 0
[ 0.67887508  0.52177263] 0
[ 0.69338006  0.50769392] 0
[ 0.6161486  0.5103412] 0
[ 0.69943408  0.51175182] 0
[ 0.60739419  0.53855843] 0
[ 0.61215887  0.52113402] 0
[ 0.66473309  0.50309168] 0
[ 0.68360582  0.50992603] 0
[ 0.645973    0.52331309] 0
[ 0.63356939  0.53546523] 0
[ 0.64864713  0.52516359] 0
[ 0.68973171  0.56196164] 0
[ 0.63858301  0.5341155 ] 0
