[ 0.30210468  0.4718663 ] 0
[ 0.34042054  0.48902318] 0
[ 0.30989824  0.49013235] 0
[ 0.32248084  0.47130479] 0
[ 0.35395216  0.49663952] 0
[ 0.32469141  0.47723939] 0
[ 0.31143363  0.46986254] 0
[ 0.35304207  0.44791564] 0
[ 0.33883013  0.40086806] 0
[ 0.32414182  0.49035208] 0
[ 0.31987586  0.48030823] 0
[ 0.33249598  0.49033015] 0
[ 0.31913601  0.44433588] 0
[ 0.3107231   0.48724395] 0
[ 0.33194628  0.49245099] 0
[ 0.30917393  0.41070057] 0
[ 0.36531994  0.4391258 ] 0
[ 0.34482536  0.49690744] 0
[ 0.31809036  0.4978805 ] 0
[ 0.3164914   0.49173905] 0
[ 0.32257668  0.48120353] 0
[ 0.32681496  0.48971653] 0
[ 0.31861651  0.4717482 ] 0
[ 0.33876788  0.4022987 ] 0
[ 0.37552033  0.49864748] 0
[ 0.31287454  0.47997168] 0
[ 0.31121752  0.47142451] 0
[ 0.31281706  0.48591705] 0
[ 0.32102427  0.49323307] 0
[ 0.30610088  0.47594293] 0
[ 0.32866652  0.49475093] 0
[ 0.39430003  0.40372975] 0
[ 0.39937103  0.42666227] 0
[ 0.34224117  0.48657379] 0
[ 0.30672551  0.49079213] 0
[ 0.33852864  0.49338577] 0
[ 0.31676126  0.48669401] 0
[ 0.30372782  0.48883972] 0
[ 0.30727588  0.46189059] 0
[ 0.36288465  0.48487866] 0
[ 0.363986    0.47184054] 0
[ 0.31018609  0.46511909] 0
[ 0.32480547  0.44886216] 0
[ 0.32903166  0.49251791] 0
[ 0.30962642  0.45975879] 0
[ 0.30048238  0.48383542] 0
[ 0.31812449  0.49728925] 0
[ 0.33835537  0.49895091] 0
[ 0.3824073   0.41993107] 0
[ 0.33209314  0.40324995] 0
[ 0.31743992  0.49309888] 0
[ 0.34563714  0.4953551 ] 0
[ 0.31895846  0.49437526] 0
[ 0.3125762   0.48722508] 0
[ 0.32083658  0.48509866] 0
[ 0.3465207   0.49007745] 0
[ 0.30332451  0.40256738] 0
[ 0.30785973  0.43303049] 0
[ 0.35232173  0.48446109] 0
[ 0.36047171  0.49348424] 0
[ 0.33939177  0.4950248 ] 0
[ 0.34006801  0.47285786] 0
[ 0.30641869  0.48792484] 0
[ 0.30971323  0.47502751] 0
[ 0.38674046  0.4150471 ] 0
[ 0.3493945   0.41617908] 0
[ 0.3303657   0.49437433] 0
[ 0.32617087  0.4822313 ] 0
[ 0.32912921  0.48400822] 0
[ 0.30124344  0.49626838] 0
[ 0.33303413  0.48622616] 0
[ 0.32721999  0.49931436] 0
[ 0.33537506  0.44597692] 0
[ 0.39713892  0.41860651] 0
[ 0.30765186  0.49339993] 0
[ 0.30073182  0.48268191] 0
[ 0.329267    0.49826078] 0
[ 0.34123797  0.4960237 ] 0
[ 0.30137861  0.47435875] 0
[ 0.32926749  0.49153572] 0
[ 0.3851363  0.4687085] 0
[ 0.36373681  0.46285279] 0
[ 0.35492604  0.49881072] 0
[ 0.30307671  0.49734893] 0
[ 0.3036166   0.48130045] 0
[ 0.30397115  0.46289117] 0
[ 0.31327723  0.48384589] 0
[ 0.33970956  0.49965824] 0
[ 0.33195201  0.46436027] 0
[ 0.34373545  0.43817739] 0
[ 0.34611864  0.41724238] 0
[ 0.31481899  0.49352162] 0
[ 0.30841717  0.47027259] 0
[ 0.30530259  0.47960155] 0
[ 0.33512517  0.49688685] 0
[ 0.31372602  0.48104045] 0
[ 0.33588733  0.4906648 ] 0
[ 0.37916617  0.40887318] 0
[ 0.37457482  0.42680131] 0
[ 0.32146248  0.4793282 ] 0
[ 0.37433901  0.49988617] 0
[ 0.31817787  0.49287604] 0
[ 0.32336946  0.49191848] 0
[ 0.32073669  0.43093547] 0
[ 0.32326776  0.49046071] 0
[ 0.3649585   0.40388982] 0
[ 0.36936944  0.44659624] 0
[ 0.31407801  0.47671115] 0
[ 0.33237408  0.4820226 ] 0
[ 0.34543722  0.49196798] 0
[ 0.35754186  0.48878531] 0
[ 0.32774324  0.47448073] 0
[ 0.32749823  0.49092736] 0
[ 0.39749633  0.40951786] 0
[ 0.36353025  0.43396338] 0
[ 0.34872026  0.48675586] 0
[ 0.31389617  0.46716575] 0
[ 0.35676418  0.49421859] 0
[ 0.32504613  0.49351246] 0
[ 0.34139575  0.47946896] 0
[ 0.33642275  0.48980333] 0
[ 0.39671072  0.4145554 ] 0
[ 0.38884919  0.42454044] 0
[ 0.37608467  0.49019262] 0
[ 0.31491919  0.49849984] 0
[ 0.34638272  0.49809944] 0
[ 0.34421874  0.48741677] 0
[ 0.34596715  0.48441657] 0
[ 0.33428829  0.49824323] 0
[ 0.3195558  0.4818279] 0
[ 0.30727609  0.4220157 ] 0
[ 0.35774467  0.43478108] 0
