[ 0.74026892  0.78348262] 0
[ 0.72000103  0.77766106] 0
[ 0.7004947   0.73531374] 0
[ 0.74955745  0.78017992] 0
[ 0.72494551  0.76456376] 0
[ 0.71964404  0.76523908] 0
[ 0.78646141  0.79994812] 0
[ 0.7329612   0.79783007] 0
[ 0.76653511  0.78827994] 0
[ 0.77276843  0.79559362] 0
[ 0.73269486  0.78057951] 0
[ 0.73376222  0.75173355] 0
[ 0.77666746  0.78998655] 0
[ 0.70889379  0.73422754] 0
[ 0.77352305  0.77605695] 0
[ 0.71513283  0.74541239] 0
[ 0.75430934  0.79408838] 0
[ 0.75788114  0.78014635] 0
[ 0.76347215  0.78464974] 0
[ 0.77263164  0.77585039] 0
[ 0.70821445  0.75512714] 0
[ 0.70847849  0.76171457] 0
[ 0.78209578  0.79432618] 0
[ 0.78551848  0.79241009] 0
[ 0.77702831  0.79209942] 0
[ 0.73143057  0.76020868] 0
[ 0.78585725  0.7975404 ] 0
[ 0.74961943  0.79456431] 0
[ 0.76249432  0.77919204] 0
[ 0.70015485  0.75127151] 0
[ 0.71914867  0.78062586] 0
[ 0.74853564  0.77817144] 0
[ 0.78229363  0.7647954 ] 0
[ 0.71347745  0.75114079] 0
[ 0.72889775  0.79464412] 0
[ 0.70642521  0.73686896] 0
[ 0.7778553   0.79451876] 0
[ 0.79307168  0.79602448] 0
[ 0.74182925  0.77017317] 0
[ 0.75393526  0.78829881] 0
[ 0.75194236  0.78743737] 0
[ 0.78394126  0.79111969] 0
[ 0.71919786  0.73496254] 0
[ 0.76408468  0.79394283] 0
[ 0.70212259  0.76043355] 0
[ 0.78687901  0.79257985] 0
[ 0.73637063  0.78173834] 0
[ 0.72727454  0.77960056] 0
[ 0.711178   0.7482013] 0
[ 0.73845676  0.75393864] 0
[ 0.77629663  0.77799633] 0
[ 0.71958585  0.7500447 ] 0
[ 0.70448312  0.74888804] 0
[ 0.79023188  0.79808612] 0
[ 0.73863228  0.76305092] 0
[ 0.72708159  0.7599697 ] 0
[ 0.70705857  0.75727255] 0
[ 0.74453351  0.76857026] 0
[ 0.7556571   0.76044531] 0
[ 0.7786844   0.78381019] 0
[ 0.75533602  0.76724493] 0
[ 0.7313998   0.74211282] 0
[ 0.73395444  0.76414536] 0
[ 0.72654426  0.73032705] 0
[ 0.77845033  0.7947114 ] 0
[ 0.74084988  0.75462244] 0
[ 0.70003278  0.76715529] 0
[ 0.72042093  0.79447123] 0
[ 0.77774291  0.75986371] 0
[ 0.71381432  0.77309851] 0
[ 0.78042039  0.76766185] 0
[ 0.70761219  0.73697118] 0
[ 0.70305253  0.76309921] 0
[ 0.74829984  0.77912126] 0
[ 0.74729199  0.78242222] 0
[ 0.75025788  0.76786125] 0
[ 0.76226918  0.79301876] 0
[ 0.7511973   0.76399669] 0
[ 0.74990709  0.76777468] 0
[ 0.72787263  0.77819463] 0
[ 0.7202007  0.7414642] 0
[ 0.73604922  0.77072508] 0
[ 0.73316507  0.73648171] 0
[ 0.71191109  0.75669204] 0
[ 0.70925323  0.74830706] 0
[ 0.70768861  0.78312027] 0
[ 0.76299367  0.79577462] 0
[ 0.74849823  0.77235044] 0
[ 0.74172654  0.76885201] 0
[ 0.73550056  0.77850049] 0
[ 0.7019055   0.72891509] 0
[ 0.75947808  0.76627608] 0
[ 0.72402487  0.79537373] 0
[ 0.73761577  0.75913683] 0
[ 0.7256332   0.78353976] 0
[ 0.76971494  0.79485047] 0
[ 0.73658205  0.77693136] 0
[ 0.70008928  0.74139879] 0
[ 0.70792437  0.73971678] 0
[ 0.76318022  0.7897364 ] 0
[ 0.77946561  0.77998374] 0
[ 0.74796782  0.78917458] 0
[ 0.7132715   0.74568824] 0
[ 0.73365502  0.73722743] 0
[ 0.72114928  0.7437273 ] 0
[ 0.7744374  0.7720362] 0
[ 0.78053302  0.79342186] 0
[ 0.78040514  0.79590601] 0
[ 0.76859961  0.78709241] 0
[ 0.70479254  0.72566895] 0
[ 0.70510656  0.73421157] 0
[ 0.74119123  0.77402898] 0
[ 0.72749163  0.78791794] 0
[ 0.73965369  0.76169849] 0
[ 0.78325041  0.78668086] 0
[ 0.71886002  0.75515047] 0
[ 0.74258528  0.77083936] 0
[ 0.75506892  0.7897808 ] 0
[ 0.73754495  0.78227691] 0
[ 0.70013365  0.75580124] 0
[ 0.74509832  0.78995479] 0
[ 0.74646914  0.76781922] 0
[ 0.77906461  0.78910169] 0
[ 0.79052161  0.79352777] 0
[ 0.7616851   0.79474772] 0
[ 0.75471392  0.78804626] 0
[ 0.70716869  0.75111836] 0
[ 0.70141758  0.72306867] 0
[ 0.7126055   0.76207739] 0
[ 0.76120374  0.77042939] 0
[ 0.71339527  0.76290574] 0
[ 0.76535681  0.79044425] 0
[ 0.75383803  0.76339874] 0
[ 0.76477546  0.7936883 ] 0
[ 0.72478653  0.7699753 ] 0
[ 0.76198769  0.79406824] 0
[ 0.77046851  0.77936777] 0
[ 0.72069783  0.77347996] 0
[ 0.74988654  0.77367491] 0
[ 0.76126001  0.75957546] 0
