[ 0.34880045  0.16682666] 0
[ 0.36695282  0.17349344] 0
[ 0.33455898  0.18143672] 0
[ 0.31907745  0.13434177] 0
[ 0.3482309   0.13550123] 0
[ 0.34957302  0.16730645] 0
[ 0.30955263  0.11958988] 0
[ 0.3403431   0.12100973] 0
[ 0.37231533  0.16165985] 0
[ 0.37983646  0.14711188] 0
[ 0.33471609  0.11247977] 0
[ 0.32945605  0.17803303] 0
[ 0.33926365  0.16799872] 0
[ 0.37278683  0.13809328] 0
[ 0.36648183  0.14280336] 0
[ 0.34575451  0.15275363] 0
[ 0.35495767  0.18633749] 0
[ 0.39924878  0.17286117] 0
[ 0.30295767  0.19344006] 0
[ 0.30676959  0.14516392] 0
[ 0.30421117  0.12569541] 0
[ 0.33138836  0.16526563] 0
[ 0.31326899  0.17527719] 0
[ 0.34929668  0.19723968] 0
[ 0.3183022   0.19960044] 0
[ 0.34116099  0.11122061] 0
[ 0.30715345  0.16217654] 0
[ 0.37994541  0.10391936] 0
[ 0.30670721  0.1991045 ] 0
[ 0.31591791  0.11846172] 0
[ 0.31152609  0.17477461] 0
[ 0.36042024  0.10483773] 0
[ 0.36462306  0.12884461] 0
[ 0.39433131  0.19809072] 0
[ 0.39204905  0.11965944] 0
[ 0.35889828  0.17990587] 0
[ 0.30864888  0.18923966] 0
[ 0.30604885  0.14234896] 0
[ 0.38422954  0.18409052] 0
[ 0.30201396  0.11911364] 0
[ 0.34033937  0.17483608] 0
[ 0.33399384  0.16178426] 0
[ 0.37315304  0.16981886] 0
[ 0.38239084  0.189602  ] 0
[ 0.32475564  0.16345476] 0
[ 0.38780719  0.14662541] 0
[ 0.36698549  0.15988041] 0
[ 0.3279244   0.17335505] 0
[ 0.39279568  0.19860673] 0
[ 0.39283999  0.16618087] 0
[ 0.32117408  0.16974801] 0
[ 0.36353605  0.12865802] 0
[ 0.37344216  0.15457187] 0
[ 0.34492315  0.15840173] 0
[ 0.38709612  0.1783113 ] 0
[ 0.37892569  0.11435414] 0
[ 0.31670473  0.10253966] 0
[ 0.36590972  0.19606568] 0
[ 0.30330586  0.17936663] 0
[ 0.33849587  0.19870614] 0
[ 0.34647778  0.1878128 ] 0
[ 0.30033937  0.1467131 ] 0
[ 0.34511241  0.15209695] 0
[ 0.37314509  0.17252066] 0
[ 0.38732682  0.15709984] 0
[ 0.38316891  0.16980804] 0
[ 0.30608776  0.16999749] 0
[ 0.37466998  0.17245518] 0
[ 0.32411451  0.13164239] 0
[ 0.32704079  0.19639292] 0
[ 0.38267156  0.19909712] 0
[ 0.32778565  0.11969899] 0
[ 0.30129908  0.16402498] 0
[ 0.32164269  0.10326054] 0
[ 0.35247123  0.19527706] 0
[ 0.32509393  0.19167202] 0
[ 0.39986171  0.19801322] 0
[ 0.33972969  0.18369114] 0
[ 0.33918265  0.16634922] 0
[ 0.34900808  0.15232261] 0
[ 0.33732843  0.18767939] 0
[ 0.33733938  0.18334249] 0
[ 0.33360194  0.14382839] 0
[ 0.36545366  0.19410679] 0
[ 0.33585934  0.17931599] 0
[ 0.34310326  0.19018634] 0
[ 0.38787549  0.11727706] 0
[ 0.34313162  0.15197009] 0
[ 0.39910715  0.18964944] 0
[ 0.32573533  0.1464043 ] 0
[ 0.38805639  0.13198673] 0
